unit,sellable_unit_id,pricing_plan_id,date,max_stay
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-25,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-26,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-27,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-28,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-29,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-30,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-07-31,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-01,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-02,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-03,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-04,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-05,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-06,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-07,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-08,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-09,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-10,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-11,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-12,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-13,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-14,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-15,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-16,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-17,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-18,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-19,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-20,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-21,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-22,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-23,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-24,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-25,31
1006 - Two Bedroom Apartment,dcad839e-9e6e-4be5-bd28-37c3baef5deb,0a69b523-45ae-40c9-a403-658d65557581,2026-08-26,31
